type,cols,rows,fill,markerPx,cellpx,k1,poses,cornerRecoveryPct,medRMSpx,markerDetPct
coded-white,9,7,0.62,24.8,40,0.00,6,99,0.031,100
coded-white,9,7,0.62,18.6,30,0.00,6,78,0.101,83
coded-white,9,7,0.62,14.9,24,0.00,6,67,2.329,100
coded-white,9,7,0.62,12.4,20,0.00,6,60,0.288,83
coded-white,9,7,0.62,9.9,16,0.00,6,0,-1.000,0
coded-white,9,7,0.62,8.1,13,0.00,6,0,-1.000,0
coded-white,9,7,0.62,6.2,10,0.00,6,0,-1.000,0
coded-white,9,7,0.62,24.8,40,-0.20,6,100,0.033,100
coded-white,9,7,0.62,18.6,30,-0.20,6,85,0.104,100
coded-white,9,7,0.62,14.9,24,-0.20,6,59,2.933,83
coded-white,9,7,0.62,12.4,20,-0.20,6,64,0.241,67
coded-white,9,7,0.62,9.9,16,-0.20,6,0,-1.000,0
coded-white,9,7,0.62,8.1,13,-0.20,6,0,-1.000,0
coded-white,9,7,0.62,6.2,10,-0.20,6,0,-1.000,0
coded-white,13,9,0.62,24.8,40,0.00,6,97,0.030,100
coded-white,13,9,0.62,18.6,30,0.00,6,77,0.100,100
coded-white,13,9,0.62,14.9,24,0.00,6,50,2.353,67
coded-white,13,9,0.62,12.4,20,0.00,6,46,0.237,33
coded-white,13,9,0.62,9.9,16,0.00,6,1,-1.000,0
coded-white,13,9,0.62,8.1,13,0.00,6,0,-1.000,0
coded-white,13,9,0.62,6.2,10,0.00,6,0,-1.000,0
coded-white,13,9,0.62,24.8,40,-0.20,6,98,0.032,100
coded-white,13,9,0.62,18.6,30,-0.20,6,62,0.112,67
coded-white,13,9,0.62,14.9,24,-0.20,6,42,2.575,50
coded-white,13,9,0.62,12.4,20,-0.20,6,47,0.246,50
coded-white,13,9,0.62,9.9,16,-0.20,6,2,-1.000,0
coded-white,13,9,0.62,8.1,13,-0.20,6,0,-1.000,0
coded-white,13,9,0.62,6.2,10,-0.20,6,0,-1.000,0
coded-white,7,5,0.62,24.8,40,0.00,6,96,0.032,100
coded-white,7,5,0.62,18.6,30,0.00,6,81,0.092,83
coded-white,7,5,0.62,14.9,24,0.00,6,53,0.169,67
coded-white,7,5,0.62,12.4,20,0.00,6,42,0.234,50
coded-white,7,5,0.62,9.9,16,0.00,6,0,-1.000,0
coded-white,7,5,0.62,8.1,13,0.00,6,0,-1.000,0
coded-white,7,5,0.62,6.2,10,0.00,6,0,-1.000,0
coded-white,7,5,0.62,24.8,40,-0.20,6,96,0.033,100
coded-white,7,5,0.62,18.6,30,-0.20,6,87,0.101,100
coded-white,7,5,0.62,14.9,24,-0.20,6,38,0.151,50
coded-white,7,5,0.62,12.4,20,-0.20,6,41,0.243,50
coded-white,7,5,0.62,9.9,16,-0.20,6,0,-1.000,0
coded-white,7,5,0.62,8.1,13,-0.20,6,0,-1.000,0
coded-white,7,5,0.62,6.2,10,-0.20,6,0,-1.000,0
coded-black,9,7,1.00,40.0,40,0.00,6,92,0.272,100
coded-black,9,7,1.00,30.0,30,0.00,6,91,0.264,100
coded-black,9,7,1.00,24.0,24,0.00,6,91,0.234,100
coded-black,9,7,1.00,20.0,20,0.00,6,85,1.596,100
coded-black,9,7,1.00,16.0,16,0.00,6,70,1.372,83
coded-black,9,7,1.00,13.0,13,0.00,6,28,0.316,33
coded-black,9,7,1.00,10.0,10,0.00,6,0,-1.000,0
coded-black,9,7,1.00,40.0,40,-0.20,6,92,0.271,100
coded-black,9,7,1.00,30.0,30,-0.20,6,92,0.252,100
coded-black,9,7,1.00,24.0,24,-0.20,6,91,0.234,100
coded-black,9,7,1.00,20.0,20,-0.20,6,82,0.380,83
coded-black,9,7,1.00,16.0,16,-0.20,6,73,0.373,100
coded-black,9,7,1.00,13.0,13,-0.20,6,28,1.047,33
coded-black,9,7,1.00,10.0,10,-0.20,6,0,-1.000,0
coded-black,13,9,1.00,40.0,40,0.00,6,95,0.274,100
coded-black,13,9,1.00,30.0,30,0.00,6,93,0.254,100
coded-black,13,9,1.00,24.0,24,0.00,6,93,0.244,100
coded-black,13,9,1.00,20.0,20,0.00,6,82,0.280,100
